"job_id","company_name","salary_year_avg","job_title","job_location","skills"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","sql"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","python"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","r"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","azure"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","databricks"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","aws"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","pandas"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","pyspark"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","jupyter"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","excel"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","tableau"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","power bi"
552322,"AT&T","255829.5","Associate Director- Data Insights","Anywhere","powerpoint"
99305,"Pinterest Job Advertisements","232423.0","Data Analyst, Marketing","Anywhere","sql"
99305,"Pinterest Job Advertisements","232423.0","Data Analyst, Marketing","Anywhere","python"
99305,"Pinterest Job Advertisements","232423.0","Data Analyst, Marketing","Anywhere","r"
99305,"Pinterest Job Advertisements","232423.0","Data Analyst, Marketing","Anywhere","hadoop"
99305,"Pinterest Job Advertisements","232423.0","Data Analyst, Marketing","Anywhere","tableau"
1021647,"Uclahealthcareers","217000.0","Data Analyst (Hybrid/Remote)","Anywhere","sql"
1021647,"Uclahealthcareers","217000.0","Data Analyst (Hybrid/Remote)","Anywhere","crystal"
1021647,"Uclahealthcareers","217000.0","Data Analyst (Hybrid/Remote)","Anywhere","oracle"
1021647,"Uclahealthcareers","217000.0","Data Analyst (Hybrid/Remote)","Anywhere","tableau"
1021647,"Uclahealthcareers","217000.0","Data Analyst (Hybrid/Remote)","Anywhere","flow"
168310,"SmartAsset","205000.0","Principal Data Analyst (Remote)","Anywhere","sql"
168310,"SmartAsset","205000.0","Principal Data Analyst (Remote)","Anywhere","python"
168310,"SmartAsset","205000.0","Principal Data Analyst (Remote)","Anywhere","go"
168310,"SmartAsset","205000.0","Principal Data Analyst (Remote)","Anywhere","snowflake"
168310,"SmartAsset","205000.0","Principal Data Analyst (Remote)","Anywhere","pandas"
168310,"SmartAsset","205000.0","Principal Data Analyst (Remote)","Anywhere","numpy"
168310,"SmartAsset","205000.0","Principal Data Analyst (Remote)","Anywhere","excel"
168310,"SmartAsset","205000.0","Principal Data Analyst (Remote)","Anywhere","tableau"
168310,"SmartAsset","205000.0","Principal Data Analyst (Remote)","Anywhere","gitlab"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","sql"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","python"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","azure"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","aws"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","oracle"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","snowflake"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","tableau"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","power bi"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","sap"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","jenkins"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","bitbucket"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","atlassian"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","jira"
731368,"Inclusively","189309.0","Director, Data Analyst - HYBRID","Anywhere","confluence"
310660,"Motional","189000.0","Principal Data Analyst, AV Performance Analysis","Anywhere","sql"
310660,"Motional","189000.0","Principal Data Analyst, AV Performance Analysis","Anywhere","python"
310660,"Motional","189000.0","Principal Data Analyst, AV Performance Analysis","Anywhere","r"
310660,"Motional","189000.0","Principal Data Analyst, AV Performance Analysis","Anywhere","git"
310660,"Motional","189000.0","Principal Data Analyst, AV Performance Analysis","Anywhere","bitbucket"
310660,"Motional","189000.0","Principal Data Analyst, AV Performance Analysis","Anywhere","atlassian"
310660,"Motional","189000.0","Principal Data Analyst, AV Performance Analysis","Anywhere","jira"
310660,"Motional","189000.0","Principal Data Analyst, AV Performance Analysis","Anywhere","confluence"
1749593,"SmartAsset","186000.0","Principal Data Analyst","Anywhere","sql"
1749593,"SmartAsset","186000.0","Principal Data Analyst","Anywhere","python"
1749593,"SmartAsset","186000.0","Principal Data Analyst","Anywhere","go"
1749593,"SmartAsset","186000.0","Principal Data Analyst","Anywhere","snowflake"
1749593,"SmartAsset","186000.0","Principal Data Analyst","Anywhere","pandas"
1749593,"SmartAsset","186000.0","Principal Data Analyst","Anywhere","numpy"
1749593,"SmartAsset","186000.0","Principal Data Analyst","Anywhere","excel"
1749593,"SmartAsset","186000.0","Principal Data Analyst","Anywhere","tableau"
1749593,"SmartAsset","186000.0","Principal Data Analyst","Anywhere","gitlab"
387860,"Get It Recruit - Information Technology","184000.0","ERM Data Analyst","Anywhere","sql"
387860,"Get It Recruit - Information Technology","184000.0","ERM Data Analyst","Anywhere","python"
387860,"Get It Recruit - Information Technology","184000.0","ERM Data Analyst","Anywhere","r"
